172.68.213.79 - - [01/Mar/2025:19:10:44 +0100] "GET /_astro/instagram.BSiiHVt-.svg HTTP/1.1" 200 1587 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.138 - - [01/Mar/2025:19:10:44 +0100] "GET /_astro/praut.Dw7aP73r.svg HTTP/1.1" 200 3652 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.111 - - [01/Mar/2025:19:10:44 +0100] "GET /_astro/x.CLZRdpRd.svg HTTP/1.1" 200 875 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.25 - - [01/Mar/2025:19:10:44 +0100] "GET /_astro/hero.D3ZJ9q05.svg HTTP/1.1" 304 260 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.138 - - [01/Mar/2025:19:10:44 +0100] "GET /_astro/icon-globe.BHB-Upsb_1gvJ6v.svg HTTP/1.1" 200 1919 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.239 - - [01/Mar/2025:19:10:45 +0100] "GET /_astro/icon-robot.r_9lib1x_Z2oasfX.svg HTTP/1.1" 200 3643 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.100 - - [01/Mar/2025:19:10:46 +0100] "GET /_astro/icon-chart.Bbdw-l33_Z26tC4h.svg HTTP/1.1" 304 259 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.71 - - [01/Mar/2025:19:10:46 +0100] "GET /_astro/praut.Dw7aP73r_L6Knf.svg HTTP/1.1" 304 259 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.109 - - [01/Mar/2025:19:10:46 +0100] "GET /_astro/icon-refresh.DWz0FGi5_Z21s75.svg HTTP/1.1" 200 3332 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.3 - - [01/Mar/2025:19:10:46 +0100] "GET /_astro/icon-message.BCRzpCzJ_ZpvxD5.svg HTTP/1.1" 200 1523 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.206 - - [01/Mar/2025:19:10:46 +0100] "GET /_astro/icon-graph.D728E71Q_Z1babSq.svg HTTP/1.1" 304 259 "https://praut.cz/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
172.68.213.197 - - [01/Mar/2025:19:10:47 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 2110 "-" "Safari/20620.2.4.11.5 CFNetwork/3826.400.120 Darwin/24.3.0"
172.68.213.85 - - [01/Mar/2025:19:10:47 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 2110 "-" "Safari/20620.2.4.11.5 CFNetwork/3826.400.120 Darwin/24.3.0"
172.68.213.204 - - [01/Mar/2025:19:10:49 +0100] "GET /favicon.svg HTTP/1.1" 304 259 "-" "com.apple.WebKit.Networking/20620.2.4.11.5 Network/4277.81.1 macOS/15.3.1"
172.68.213.153 - - [01/Mar/2025:19:10:49 +0100] "GET /favicon.ico HTTP/1.1" 404 2110 "-" "com.apple.WebKit.Networking/20620.2.4.11.5 Network/4277.81.1 macOS/15.3.1"
104.23.172.97 - - [01/Mar/2025:19:10:56 +0100] "GET / HTTP/1.1" 200 9061 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
104.23.172.22 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/praut.Dw7aP73r_L6Knf.svg HTTP/1.1" 200 3652 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
